6_2,3736,2697,2634
6_8,3885,2549,2685
7_2,3655,2282,2544
7_8,3800,2502,3075
8_4,3494,1891,2515
NoTestStrip,4374,4561,5497
OutOfRange,2719,1829,1604
OutOfRange,2057,1485,1393
DrawerNotClosed,1065,1082,1288
NoDrawer,7917,8285,9837
