1,2384,1007,1744
1,2534,1094,1828
2,3176,1219,1830
2,3336,1311,1871
3,3720,1444,1987
3,3977,1492,1976
4,4234,2056,1229
4,4227,1972,2283
5,4727,2861,2291
5,4655,2671,2329
6,5043,3477,2623
6,5089,3558,2891
6_8,4503,3306,2174
7,3748,2977,2248
7,3485,2736,2161
8,2598,2208,2064
8,2804,2446,2523
9,1861,1506,1460
9,2178,1780,1805
9,2139,1793,1445
DrawerNotClosed,5067,5623,7677
NoTestStrip,6298,6860,9406
